Rank,Book,Authors,Year,Country,Language
1,The Great Gatsby,F. Scott Fitzgerald,1925,American,English
2,Ulysses,James Joyce,1922,Irish,English
3,In Search of Lost Time,Marcel Proust,1913,French,French
8,Moby-Dick,Herman Melville,1851,American,English
9,Anna Karenina,Leo Tolstoy,1877,Russian,Russian
10,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish
11,Wuthering Heights,Emily Brontë,1847,British,English
12,War and Peace,Leo Tolstoy,1869,Russian,Russian
14,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Russian
15,Pride and Prejudice,Jane Austen,1813,British,English
19,The Odyssey,Homer,-740,Greek,Ancient greek
20,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian
21,Madame Bovary,Gustave Flaubert,1857,French,French
22,Heart of Darkness,Joseph Conrad,1899,British,English
23,Middlemarch,George Eliot,1871,British,English
25,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English
26,The Divine Comedy,Dante Alighieri,1308,Italian,Italian
28,The Trial,Franz Kafka,1925,Czech,German
29,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek"
30,Jane Eyre,Charlotte Brontë,1847,British,English
31,The Magic Mountain,Thomas Mann,1924,German,German
32,Mrs. Dalloway,Virginia Woolf,1925,British,English
33,Great Expectations,Charles Dickens,1860,British,English
34,Adventures of Huckleberry Finn,Mark Twain,1884,American,English
37,The Iliad,Homer,-750,Greek,Ancient greek
39,Frankenstein,Mary Shelley,1818,British,English
40,Les Misérables,Victor Hugo,1862,French,French
41,The Red and the Black,Stendhal,1830,French,French
44,One Thousand and One Nights,Unknown,800,Multiple,Arabic
48,The Life And Opinions Of Tristram Shandy,Laurence Sterne,1759,British,English
49,David Copperfield,Charles Dickens,1849,British,English
58,The Aeneid,Virgil,19,Roman,Latin
60,Gulliver's Travels,Jonathan Swift,1726,British,English
61,A Passage to India,E. M. Forster,1924,British,English
62,Leaves of Grass,Walt Whitman,1855,American,English
63,The Good Soldier,Ford Madox Ford,1915,British,English
65,Hamlet,William Shakespeare,1600,British,English
66,The Portrait of a Lady,Henry James,1881,American,English
67,Dracula,Bram Stoker,1897,British,English
70,Candide,Voltaire,1759,French,French
72,Essays,Michel de Montaigne,1580,French,French
74,The Idiot,Fyodor Dostoevsky,1869,Russian,Russian
76,Oedipus the King,Sophocles,-429,Greek,Ancient greek
80,Little Women,Louisa May Alcott,1868,American,English
81,The Metamorphosis,Franz Kafka,1915,Czech,German
84,A Portrait of the Artist as a Young Man,James Joyce,1916,Irish,English
86,The Stories of Anton Chekhov,Anton Chekhov,1900,Russian,Russian
