Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score
1,38,The Great Gatsby,F. Scott Fitzgerald,1925,American,English,47-180,47000,1,6642
2,122,Ulysses,James Joyce,1922,Irish,English,730-1000,265222,2,6473
3,225,In Search of Lost Time,Marcel Proust,1913,French,French,3000-4300,1200000,3,6331
4,266,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish,300-500,144000,4,5822
5,19,The Catcher in the Rye,J. D. Salinger,1951,American,English,220-277,73440,5,5685
6,50,Lolita,Vladimir Nabokov,1955,American,English,300-400,112473,6,5312
7,64,Nineteen Eighty Four,George Orwell,1949,British,English,300-400,88942,7,5243
8,208,Moby-Dick,Herman Melville,1851,American,English,600-700,212000,8,5055
9,213,Anna Karenina,Leo Tolstoy,1877,Russian,Russian,800-1000,349000,9,5053
10,190,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish,800-1000,500000,10,4800
11,108,Wuthering Heights,Emily Brontë,1847,British,English,300-400,107945,11,4793
12,116,War and Peace,Leo Tolstoy,1869,Russian,Russian,1225-1500,587287,12,4677
13,91,To Kill a Mockingbird,Harper Lee,1960,American,English,281-500,100388,13,4632
14,329,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Russian,430-600,211591,14,4535
15,102,Pride and Prejudice,Jane Austen,1813,British,English,432,122189,15,4508
16,52,The Lord of the Rings,J. R. R. Tolkien,1954,British,English,1000-1500,506325,16,4359
17,85,The Sound and the Fury,William Faulkner,1929,American,English,320,97000,17,4344
18,322,The Stranger,Albert Camus,1942,French,French,100-200,35000,18,4257
19,408,The Odyssey,Homer,-740,Greek,Ancient greek,300-500,120000,19,4162
20,215,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian,700-800,364000,20,4125
21,209,Madame Bovary,Gustave Flaubert,1857,French,French,300-450,117000,21,4089
22,135,Heart of Darkness,Joseph Conrad,1899,British,English,70-200,38000,22,4001
23,410,Middlemarch,George Eliot,1871,British,English,700-900,310000,23,3959
24,92,To the Lighthouse,Virginia Woolf,1927,British,English,200-300,70000,24,3907
25,211,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English,92-202,26429,25,3905
26,326,The Divine Comedy,Dante Alighieri,1308,Italian,Italian,300-500,100000,26,3870
27,36,The Grapes of Wrath,John Steinbeck,1939,American,English,464,169481,27,3828
28,258,The Trial,Franz Kafka,1925,Czech,German,200-300,80000,28,3825
29,1156,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek",1200-1600,783137,29,3734
30,107,Jane Eyre,Charlotte Brontë,1847,British,English,300-500,183858,30,3695
31,466,The Magic Mountain,Thomas Mann,1924,German,German,700-1000,264000,31,3604
32,59,Mrs. Dalloway,Virginia Woolf,1925,British,English,150-200,64000,32,3551
33,112,Great Expectations,Charles Dickens,1860,British,English,500-600,186000,33,3510
34,217,Adventures of Huckleberry Finn,Mark Twain,1884,American,English,200-400,109571,34,3502
35,18,Catch-22,Joseph Heller,1961,American,English,450-550,174269,35,3366
36,47,Invisible Man,Ralph Ellison,1952,American,English,200-600,95000,36,3357
37,407,The Iliad,Homer,-750,Greek,Ancient greek,300-700,155000,37,3221
38,1409,The Master and Margarita,Mikhail Bulgakov,1967,Russian,Russian,250-500,134000,38,3070
39,199,Frankenstein,Mary Shelley,1818,British,English,280-320,78000,39,3013
40,950,Les Misérables,Victor Hugo,1862,French,French,1200-1500,530982,40,2975
41,485,The Red and the Black,Stendhal,1830,French,French,300-500,217000,41,2796
42,56,Midnight's Children,Salman Rushdie,1981,"British, Indian",English,450-550,208000,42,2780
43,90,Things Fall Apart,Chinua Achebe,1958,Nigerian,English,200-250,60000,43,2689
44,489,One Thousand and One Nights,Unknown,800,Multiple,Arabic,800-1000,700000,44,2685
45,66,On the Road,Jack Kerouac,1957,American,English,310,86921,45,2638
46,88,The Sun Also Rises,Ernest Hemingway,1926,American,English,200-300,68000,46,2606
47,444,"Absalom, Absalom!",William Faulkner,1936,American,English,300-400,120000,47,2566
48,16051,The Life And Opinions Of Tristram Shandy,Laurence Sterne,1759,British,English,500-600,220000,48,2527
49,205,David Copperfield,Charles Dickens,1849,British,English,600-900,358000,49,2496
50,10,Beloved,Toni Morrison,1987,American,English,275-350,90000,50,2495
51,321,Fictions,Jorge Luis Borges,1944,Argentinian,Spanish,174,,51,2480
52,2027,The Little Prince,Antoine de Saint-Exupéry,1943,French,French,93-96,16000,52,2469
53,914,Journey to the End of The Night,Louis-Ferdinand Céline,1932,French,French,400-600,158000,53,2450
54,126,Brave New World,Aldous Huxley,1932,British,English,200-300,64000,54,2382
55,139,The Old Man and the Sea,Ernest Hemingway,1952,American,English,120-140,27000,55,2368
56,89,Their Eyes Were Watching God,Zora Neale Hurston,1937,American,English,200-300,59000,56,2367
57,4,Animal Farm,George Orwell,1945,British,English,50-150,29500,57,2345
58,491,The Aeneid,Virgil,19,Roman,Latin,395,128000,58,2267
59,818,The Diary of a Young Girl,Anne Frank,1947,Dutch,Dutch,220-340,70000,59,2265
60,193,Gulliver's Travels,Jonathan Swift,1726,British,English,300-400,107349,60,2229
61,70,A Passage to India,E. M. Forster,1924,British,English,200-400,120000,61,2214
62,492,Leaves of Grass,Walt Whitman,1855,American,English,95-438,154835,62,2207
63,234,The Good Soldier,Ford Madox Ford,1915,British,English,200-300,72000,63,2193
64,82,Slaughterhouse-Five,Kurt Vonnegut,1969,American,English,275-320,49000,64,2193
65,481,Hamlet,William Shakespeare,1600,British,English,100-200,30000,65,2185
66,216,The Portrait of a Lady,Henry James,1881,American,English,400-600,188000,66,2180
67,953,Dracula,Bram Stoker,1897,British,English,398,160000,67,2163
68,536,Dune,Frank Herbert,1965,American,English,400-500,188000,68,2160
69,157,In Cold Blood,Truman Capote,1966,American,English,300-400,94000,69,2145
70,943,Candide,Voltaire,1759,French,French,100-200,30000,70,2120
71,110,Rebecca,Daphne du Maurier,1938,British,English,300-400,115500,71,2081
72,467,Essays,Michel de Montaigne,1580,French,French,800-1500,1070000,72,2074
73,691,Silent Spring,Rachel Carson,1962,American,English,200-300,61000,73,2063
74,442,The Idiot,Fyodor Dostoevsky,1869,Russian,Russian,600-800,208000,74,2054
75,51,Lord of the Flies,William Golding,1954,British,English,224,59960,75,2050
76,484,Oedipus the King,Sophocles,-429,Greek,Ancient greek,128,26000,76,2026
77,167,Orlando,Virginia Woolf,1928,British,English,200-300,70000,77,2017
78,35,Gone With the Wind,Margaret Mitchell,1936,American,English,959-1037,418053,78,1992
79,951,The Leopard,Giuseppe Tomasi di Lampedusa,1958,Italian,Italian,200-300,72000,79,1985
80,113,Little Women,Louisa May Alcott,1868,American,English,300-500,189000,80,1985
81,1170,The Metamorphosis,Franz Kafka,1915,Czech,German,40-100,22000,81,1969
82,1368,The Handmaid's Tale,Margaret Atwood,1985,Canadian,English,300-400,94000,82,1961
83,455,The Castle,Franz Kafka,1926,Czech,German,200-300,98000,83,1946
84,125,A Portrait of the Artist as a Young Man,James Joyce,1916,Irish,English,200-300,86332,84,1941
85,33,The Golden Notebook,Doris May Lessing,1962,British,English,576-640,200000,85,1932
86,1484,The Stories of Anton Chekhov,Anton Chekhov,1900,Russian,Russian,460,,86,1929
87,133,As I Lay Dying,William Faulkner,1930,American,English,200-300,56000,87,1913
88,443,Demons,Fyodor Dostoevsky,1872,Russian,Russian,500-800,332000,88,1894
89,146,The Age of Innocence,Edith Wharton,1920,American,English,300-400,101572,89,1886
90,448,Faust,Johann Wolfgang von Goethe,1808,German,German,327,90000,90,1882
91,1351,All Quiet on the Western Front,Erich Maria Remarque,1928,German,German,200-300,61000,91,1874
92,198,Emma,Jane Austen,1815,British,English,300-500,155887,92,1869
93,474,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1902,American,English,1000-1500,,93,1868
94,96,Under the Volcano,Malcolm Lowry,1947,British,English,300-400,144000,94,1847
95,203,The Count of Monte Cristo,Alexandre Dumas,1844,French,French,1200-1400,461111,95,1839
96,220,The Picture of Dorian Gray,Oscar Wilde,1890,British,English,208,78000,96,1832
97,206,Vanity Fair,William Makepeace Thackeray,1847,British,English,900-1000,346089,97,1790
98,124,Charlotte's Web,E. B. White,1952,American,English,192,32000,98,1785
99,207,The Scarlet Letter,Nathaniel Hawthorne,1850,American,English,200-300,63500,99,1782
100,61,Native Son,Richard Wright,1940,American,English,350-500,100000,100,1781
101,69,Pale Fire,Vladimir Nabokov,1962,American,English,200-300,95000,101,1759
102,2028,The Long Goodbye,Raymond Chandler,1953,American,English,250-400,96000,102,1757
103,192,Robinson Crusoe,Daniel Defoe,1719,British,English,200-300,121961,103,1754
104,469,The Tale of Genji,Murasaki Shikibu,1001,Japanese,Classical japanese,1000-1200,267000,104,1718
105,265,The Tin Drum,Günter Grass,1959,German,German,500-600,203000,105,1713
106,336,Treasure Island,Robert Louis Stevenson,1883,British,English,192,66922,106,1704
107,465,Buddenbrooks,Thomas Mann,1901,German,German,700-1000,178462,107,1694
108,562,Bleak House,Charles Dickens,1852,British,English,800-1000,360000,108,1691
109,12,The Big Sleep,Raymond Chandler,1939,American,English,200-300,69000,109,1662
110,111,The Wind in the Willows,Kenneth Grahame,1908,British,English,240-320,58500,110,1656
111,470,The Man Without Qualities,Robert Musil,1930,Austrian,German,1000-2000,177000,111,1655
112,1163,Waiting for Godot,Samuel Beckett,1953,Irish,French,60-128,30000,112,1645
113,121,The Color Purple,Alice Walker,1982,American,English,250-350,66000,113,1629
114,1305,The Second Sex,Simone de Beauvoir,1949,French,French,800-1000,267000,114,1619
115,955,The Hound of the Baskervilles,Arthur Conan Doyle,1902,British,English,174-256,59860,115,1614
116,434,The Talented Mr. Ripley,Patricia Highsmith,1955,American,English,250-300,89000,116,1611
117,11674,Pedro Páramo,Juan Rulfo,1955,Mexican,Spanish,120-200,23000,117,1607
